Source path,Class name,Line count,Method count,Field count,WMC,LCOM4,TCC,CBO,Maintainability index
src/test/java/io/moderne/devcenter/BuildToolCardTest.java,io.moderne.devcenter.BuildToolCardTest,138,9,0,9,9,0.0,16,58.03546044639006
src/test/java/io/moderne/devcenter/CSharpVersionUpgradeTest.java,io.moderne.devcenter.CSharpVersionUpgradeTest,106,7,0,7,5,0.0,20,57.675074126117124
src/test/java/io/moderne/devcenter/DependencyVulnerabilityCheckTest.java,io.moderne.devcenter.DependencyVulnerabilityCheckTest,83,3,0,3,3,0.0,9,52.89127614915207
src/test/java/io/moderne/devcenter/DevCenterTest.java,io.moderne.devcenter.DevCenterTest,376,20,3,28,13,0.06315789473684211,59,55.241705131886754
src/test/java/io/moderne/devcenter/FindOrganizationStatisticsTest.java,io.moderne.devcenter.FindOrganizationStatisticsTest,22,1,0,1,1,1.0,10,55.17456633264131
src/test/java/io/moderne/devcenter/GroovyVersionUpgradeTest.java,io.moderne.devcenter.GroovyVersionUpgradeTest,65,4,0,4,4,0.0,14,57.92850976456205
src/test/java/io/moderne/devcenter/JUnitJupiterUpgradeTest.java,io.moderne.devcenter.JUnitJupiterUpgradeTest,143,6,5,6,2,0.13333333333333333,9,58.28781044383
src/test/java/io/moderne/devcenter/JavaVersionUpgradeTest.java,io.moderne.devcenter.JavaVersionUpgradeTest,55,4,0,4,4,0.0,15,59.06071461451451
src/test/java/io/moderne/devcenter/KotlinVersionUpgradeTest.java,io.moderne.devcenter.KotlinVersionUpgradeTest,67,4,0,4,4,0.0,14,57.37161309124302
src/test/java/io/moderne/devcenter/LibraryUpgradeTest.java,io.moderne.devcenter.LibraryUpgradeTest,46,2,0,2,2,0.0,12,54.6097773156908
src/test/java/io/moderne/devcenter/NodeVersionUpgradeTest.java,io.moderne.devcenter.NodeVersionUpgradeTest,102,7,0,7,6,0.0,19,57.84638168676891
src/test/java/io/moderne/devcenter/ParentPomUpgradeTest.java,io.moderne.devcenter.ParentPomUpgradeTest,50,2,0,2,2,0.0,12,53.78679447498464
src/test/java/io/moderne/devcenter/PythonVersionUpgradeTest.java,io.moderne.devcenter.PythonVersionUpgradeTest,90,6,0,6,5,0.0,18,57.47685905170662
src/test/java/io/moderne/devcenter/ReportAsSecurityIssuesTest.java,io.moderne.devcenter.ReportAsSecurityIssuesTest,45,2,0,2,2,0.0,9,56.90016608733002
src/test/java/io/moderne/devcenter/ScalaVersionUpgradeTest.java,io.moderne.devcenter.ScalaVersionUpgradeTest,63,4,0,4,4,0.0,14,58.44881066456844
