Source path,Class name,Method name,Smell type,Severity,Evidence
src/test/java/io/moderne/devcenter/AngularVersionUpgradeTest.java,io.moderne.devcenter.AngularVersionUpgradeTest,angularMarker,FEATURE_ENVY,MEDIUM,"foreign accesses=12, own accesses=0"
src/test/java/io/moderne/devcenter/AngularVersionUpgradeTest.java,io.moderne.devcenter.AngularVersionUpgradeTest,skipsAngularJsLegacyPackage,FEATURE_ENVY,MEDIUM,"foreign accesses=10, own accesses=0"
src/test/java/io/moderne/devcenter/AngularVersionUpgradeTest.java,io.moderne.devcenter.AngularVersionUpgradeTest,skipsWhenNoAngularCore,FEATURE_ENVY,MEDIUM,"foreign accesses=10, own accesses=0"
src/test/java/io/moderne/devcenter/BucketedMetricCardTest.java,io.moderne.devcenter.BucketedMetricCardTest,noRowsWhenAverageHasNoInput,FEATURE_ENVY,LOW,"foreign accesses=5, own accesses=2"
src/test/java/io/moderne/devcenter/BuildToolCardTest.java,io.moderne.devcenter.BuildToolCardTest,detectsCompleted,FEATURE_ENVY,LOW,"foreign accesses=6, own accesses=0"
src/test/java/io/moderne/devcenter/BuildToolCardTest.java,io.moderne.devcenter.BuildToolCardTest,detectsMajorVersionBehind,FEATURE_ENVY,LOW,"foreign accesses=6, own accesses=0"
src/test/java/io/moderne/devcenter/BuildToolCardTest.java,io.moderne.devcenter.BuildToolCardTest,detectsMinorVersionBehind,FEATURE_ENVY,LOW,"foreign accesses=6, own accesses=0"
src/test/java/io/moderne/devcenter/BuildToolCardTest.java,io.moderne.devcenter.BuildToolCardTest,detectsPatchVersionBehind,FEATURE_ENVY,LOW,"foreign accesses=6, own accesses=0"
src/test/java/io/moderne/devcenter/BuildToolCardTest.java,io.moderne.devcenter.BuildToolCardTest,filtersByBuildToolCaseInsensitive,FEATURE_ENVY,LOW,"foreign accesses=6, own accesses=0"
src/test/java/io/moderne/devcenter/CSharpVersionUpgradeTest.java,io.moderne.devcenter.CSharpVersionUpgradeTest,msBuildMarker,FEATURE_ENVY,MEDIUM,"foreign accesses=11, own accesses=0"
src/test/java/io/moderne/devcenter/CSharpVersionUpgradeTest.java,io.moderne.devcenter.CSharpVersionUpgradeTest,skipsWhenNoTargetFrameworks,FEATURE_ENVY,LOW,"foreign accesses=7, own accesses=0"
src/test/java/io/moderne/devcenter/DependencyVulnerabilityCheckLeakTest.java,io.moderne.devcenter.DependencyVulnerabilityCheckLeakTest,accumulatorDoesNotLeakOntoRootCursorPerSourceFile,FEATURE_ENVY,HIGH,"foreign accesses=15, own accesses=1"
src/test/java/io/moderne/devcenter/DependencyVulnerabilityCheckLeakTest.java,io.moderne.devcenter.DependencyVulnerabilityCheckLeakTest,parsePoms,FEATURE_ENVY,LOW,"foreign accesses=9, own accesses=0"
src/test/java/io/moderne/devcenter/DevCenterTest.java,io.moderne.devcenter.DevCenterTest,devcenterWithMultipleLibraryUpgradeRecipesHasCorrectData,FEATURE_ENVY,LOW,"foreign accesses=9, own accesses=0"
src/test/java/io/moderne/devcenter/DevCenterTest.java,io.moderne.devcenter.DevCenterTest,findCsv,FEATURE_ENVY,LOW,"foreign accesses=7, own accesses=0"
src/test/java/io/moderne/devcenter/DevCenterTest.java,io.moderne.devcenter.DevCenterTest,getSpecMatchesStarterDevCenter,FEATURE_ENVY,CRITICAL,"foreign accesses=34, own accesses=1"
src/test/java/io/moderne/devcenter/DevCenterTest.java,io.moderne.devcenter.DevCenterTest,getSpecOmitsSecurityWhenAbsent,FEATURE_ENVY,HIGH,"foreign accesses=20, own accesses=0"
src/test/java/io/moderne/devcenter/DevCenterTest.java,io.moderne.devcenter.DevCenterTest,libraryUpgradeUnderCsvDataTableStore,FEATURE_ENVY,HIGH,"foreign accesses=23, own accesses=2"
src/test/java/io/moderne/devcenter/DevCenterTest.java,io.moderne.devcenter.DevCenterTest,loadClass,FEATURE_ENVY,MEDIUM,"foreign accesses=12, own accesses=0"
src/test/java/io/moderne/devcenter/DevCenterTest.java,io.moderne.devcenter.DevCenterTest,readCsvRows,FEATURE_ENVY,LOW,"foreign accesses=8, own accesses=0"
src/test/java/io/moderne/devcenter/DevCenterTest.java,io.moderne.devcenter.DevCenterTest,recipesFromIsolatedClassLoader,FEATURE_ENVY,LOW,"foreign accesses=8, own accesses=0"
src/test/java/io/moderne/devcenter/DevCenterTest.java,io.moderne.devcenter.DevCenterTest,twoUpgradeCardsFromOneRepository,FEATURE_ENVY,LOW,"foreign accesses=5, own accesses=1"
src/test/java/io/moderne/devcenter/DevCenterTest.java,io.moderne.devcenter.DevCenterTest,uniqueCardNames,FEATURE_ENVY,LOW,"foreign accesses=8, own accesses=0"
src/test/java/io/moderne/devcenter/DevCenterTest.java,io.moderne.devcenter.DevCenterTest,upgradeDoesntRequireFix,FEATURE_ENVY,LOW,"foreign accesses=8, own accesses=0"
src/test/java/io/moderne/devcenter/NodeVersionUpgradeTest.java,io.moderne.devcenter.NodeVersionUpgradeTest,nodeMarker,FEATURE_ENVY,LOW,"foreign accesses=8, own accesses=0"
src/test/java/io/moderne/devcenter/NodeVersionUpgradeTest.java,io.moderne.devcenter.NodeVersionUpgradeTest,skipsWhenNoEngines,FEATURE_ENVY,MEDIUM,"foreign accesses=10, own accesses=0"
src/test/java/io/moderne/devcenter/NodeVersionUpgradeTest.java,io.moderne.devcenter.NodeVersionUpgradeTest,skipsWhenNoNodeEngine,FEATURE_ENVY,MEDIUM,"foreign accesses=11, own accesses=0"
