Library,Top-level package,Usage pattern,Common classes,Import count,Example usage
org.openrewrite:rewrite-core:8.73.0-SNAPSHOT,org.openrewrite,,"TreeVisitor, ExecutionContext, Option, SourceFile, BuildTool, Tree",1,
org.jspecify:jspecify:1.0.0,org.jspecify,,Nullable,1,
org.projectlombok:lombok:1.18.42,org.projectlombok,,"Value, EqualsAndHashCode",1,
org.openrewrite:rewrite-gradle:8.73.0-SNAPSHOT,org.openrewrite,,IsBuildGradle,1,
org.openrewrite.recipe:rewrite-java-dependencies:1.51.0-SNAPSHOT,org.openrewrite.recipe,,VersionParser,1,
org.openrewrite.recipe:rewrite-java-security:3.27.0-SNAPSHOT,org.openrewrite.recipe,,"VulnerabilityReport, DependencyVulnerabilityCheckBase.UpgradeDelta, VulnerabilityReport.Row, DependencyVulnerabilityCheck, DependencyVulnerabilityCheckBase, DependencyVulnerabilityCheckBase.Accumulator",1,
org.openrewrite:rewrite-maven:8.73.0-SNAPSHOT,org.openrewrite,,"MavenDownloadingException, MavenDownloadingExceptions, FindMavenProject",1,
org.jetbrains:annotations:26.0.2-1,org.jetbrains,,Language,1,
org.openrewrite:rewrite-java:8.73.0-SNAPSHOT,org.openrewrite,,"JavaSourceSet, J, JavaIsoVisitor, FindAnnotations",1,
io.moderne:moderne-organizations-format:0.31.0,io.moderne,,"RepositorySpec, RepositoryId, Organization",1,
com.univocity:univocity-parsers:2.9.1,com.univocity,,"CsvParser, CsvParserSettings",1,
org.junit.jupiter:junit-jupiter-api:5.14.0,org.junit.jupiter,,Test,1,
org.openrewrite:rewrite-test:8.72.0,org.openrewrite,,"RewriteTest, SourceSpec, RecipeSpec",1,
org.assertj:assertj-core:4.0.0-M1,org.assertj,,"ThrowableAssert.ThrowingCallable, ThrowingExtractor",1,
org.junit.jupiter:junit-jupiter-params:5.14.0,org.junit.jupiter,,"MethodSource, ParameterizedTest, Arguments",1,
