Source path,Class name,Method name,Method signature,Cyclomatic complexity,Cognitive complexity,Max nesting depth,Line count,Parameter count,ABC score,Assignments,Branches,Conditions,Halstead volume,Halstead difficulty,Halstead estimated bugs
src/main/java/io/moderne/devcenter/BuildToolCard.java,io.moderne.devcenter.BuildToolCard,getInstanceName,"io.moderne.devcenter.BuildToolCard{name=getInstanceName,return=java.lang.String,parameters=[]}",1,0,0,5,0,1.0,0,1,0,4.75,1.0,0.0
src/main/java/io/moderne/devcenter/BuildToolCard.java,io.moderne.devcenter.BuildToolCard,getVisitor,"io.moderne.devcenter.BuildToolCard{name=getVisitor,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[]}",3,4,2,18,0,11.05,1,11,0,300.02,10.11,0.07
src/main/java/io/moderne/devcenter/BuildToolCard.java,io.moderne.devcenter.BuildToolCard,getMeasures,"io.moderne.devcenter.BuildToolCard{name=getMeasures,return=java.util.List<io.moderne.devcenter.DevCenterMeasure>,parameters=[]}",1,0,0,5,0,2.0,0,2,0,19.65,1.5,0.0
src/main/java/io/moderne/devcenter/CSharpVersionUpgrade.java,io.moderne.devcenter.CSharpVersionUpgrade,getInstanceName,"io.moderne.devcenter.CSharpVersionUpgrade{name=getInstanceName,return=java.lang.String,parameters=[]}",1,0,0,5,0,0.0,0,0,0,8.0,1.0,0.0
src/main/java/io/moderne/devcenter/CSharpVersionUpgrade.java,io.moderne.devcenter.CSharpVersionUpgrade,getVisitor,"io.moderne.devcenter.CSharpVersionUpgrade{name=getVisitor,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[]}",10,38,5,48,0,19.75,13,10,11,907.13,20.79,0.24
src/main/java/io/moderne/devcenter/CSharpVersionUpgrade.java,io.moderne.devcenter.CSharpVersionUpgrade,parseMajorVersion,"io.moderne.devcenter.CSharpVersionUpgrade{name=parseMajorVersion,return=int,parameters=[java.lang.String]}",6,5,1,20,1,11.22,2,11,1,281.76,10.69,0.07
src/main/java/io/moderne/devcenter/CSharpVersionUpgrade.java,io.moderne.devcenter.CSharpVersionUpgrade,getMeasures,"io.moderne.devcenter.CSharpVersionUpgrade{name=getMeasures,return=java.util.List<io.moderne.devcenter.DevCenterMeasure>,parameters=[]}",1,0,0,7,0,5.1,0,5,1,79.23,4.4,0.02
src/main/java/io/moderne/devcenter/CSharpVersionUpgrade.java,io.moderne.devcenter.CSharpVersionUpgrade,getFixRecipeId,"io.moderne.devcenter.CSharpVersionUpgrade{name=getFixRecipeId,return=java.lang.String,parameters=[]}",1,0,0,5,0,0.0,0,0,0,2.0,0.5,0.0
src/main/java/io/moderne/devcenter/DependencyVulnerabilityCheck.java,io.moderne.devcenter.DependencyVulnerabilityCheck,getInstanceNameSuffix,"io.moderne.devcenter.DependencyVulnerabilityCheck{name=getInstanceNameSuffix,return=java.lang.String,parameters=[]}",1,0,0,5,0,1.0,0,1,0,15.51,1.0,0.0
src/main/java/io/moderne/devcenter/DependencyVulnerabilityCheck.java,io.moderne.devcenter.DependencyVulnerabilityCheck,getVisitor,"io.moderne.devcenter.DependencyVulnerabilityCheck{name=getVisitor,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[]}",18,34,4,68,0,49.98,4,49,9,2084.03,57.03,0.81
